Number,Abstract
1,"  Essence Framework EF aims at addressing the core problems of software
engineering SE and its practices
"
2,"  There is no doubt that Search Engines are playing a great role in Internet
usage. But all the top search engines Google, Yahoo and Bing are having a
critical flaw called ""Openness of a Search Engine"". An Internet user should be
allowed to get the search results only when requested through Search engine's
web page but the user must not be allowed to get the search results when
requested through any web page that does not belong to the Search Engine. Only
results of a search engine should be available to the Internet user but not the
Search Engine. This paper explains the critical flaw called ""Openness of Search
Engine"" with a case study on top 3 search engines 'Google', 'Yahoo' and 'Bing'.
This paper conducts an attack based test using J2EE framework and proves that
'Google' passed the test and it strongly protects its Critical Search System,
where 'Yahoo' and 'Bing' are failed to protect their Search Engines. But
previously 'Google' also had other high severity issues with the Openness of
search engine; this paper reveals those issues also. Finally this paper appeals
strongly to the all top Search Engines to fix their critical flaws of ""Openness
of Search Engine"".
"
3,"  Over the past three years we have built a practice-oriented, bachelor level,
educational programme for software engineers to specialize as AI engineers. The
experience with this programme and the practical assignments our students
execute in industry has given us valuable insights on the profession of AI
engineer. In this paper we discuss our programme and the lessons learned for
industry and research.
"
4,"  Game engines help developers create video games and avoid duplication of code
and effort, like frameworks for traditional software systems. In this paper, we
explore open-source game engines along three perspectives: literature, code,
and human. First, we explore and summarise the academic literature on game
engines. Second, we compare the characteristics of the 282 most popular engines
and the 282 most popular frameworks in GitHub. Finally, we survey 124 engine
developers about their experience with the development of their engines. We
report that: (1) Game engines are not well-studied in software-engineering
research with few studies having engines as object of research. (2) Open-source
game engines are slightly larger in terms of size and complexity and less
popular and engaging than traditional frameworks. Their programming languages
differ greatly from frameworks. Engine projects have shorter histories with
less releases. (3) Developers perceive game engines as different from
traditional frameworks. Generally, they build game engines to (a) better
control the environment and source code, (b) learn about game engines, and (c)
develop specific games. We conclude that open-source game engines have
differences compared to traditional open-source frameworks although this
differences do not demand special treatments.
"
5,"  Database systems are becoming increasingly multi-engine. In particular, a
main-memory database engine may coexist with a traditional storage-centric
engine in a system to support various applications. It is desirable to allow
applications to access data in both engines using cross-engine transactions.
But existing systems are either only designed for single-engine accesses, or
impose many restrictions by limiting cross-engine transactions to certain
isolation levels and table operations. The result is inadequate cross-engine
support in terms of correctness, performance and programmability.
  This paper describes Skeena, a holistic approach to cross-engine
transactions. We propose a lightweight snapshot tracking structure and an
atomic commit protocol to efficiently ensure correctness and support various
isolation levels. Evaluation results show that Skeena maintains high
performance for single-engine transactions and enables cross-engine
transactions which can improve throughput by up to 30x by judiciously placing
tables in different engines.
"
6,"  The exponential growth of information source on the web and in turn
continuing technological progress of searching the information by using tools
like Search Engines gives rise to many problems for the user to know which tool
is best for their query and which tool is not. At this time Metasearch Engine
comes into play by reducing the user burden by dispatching queries to multiple
search engines in parallel and refining the results of these search engines to
give the best out of best by doing superior job on their side. These engines do
not own a database of Web pages rather they send search terms to the databases
maintained by the search engine companies, get back results from all the search
engines queried and then compile the results to be presented to the user. In
this paper, we describe the working of a typical metasearch engine and then
present a comparative study of traditional search engines and metasearch
engines on the basis of different parameters and show how metasearch engines
are better than the other search engines.
"
7,"  A heat engine operating on the basis of the Carnot cycle is considered, where
the mechanical work performed is dissipated within the engine at the
temperature of the warmer isotherm and the resulting heat is added to the
engine together with an external heat input. The resulting work performed by
the engine per cycle is increased at the expense of dissipated work produced in
the previous cycle. It is shown that such a dissipative heat engine is
thermodynamically inconsistent violating the first and second laws of
thermodynamics. The existing physical models employing the dissipative heat
engine concept, in particular, the heat engine model of hurricane development,
are physically invalid.
"
8,"  SEMAT/OMG Essence provides a powerful Language and a Kernel for describing
software development processes. How can it be tweaked to apply it to systems
engineering methods description? We must harmonize Essence and various systems
engineering standards in order to provide a more formal system approach to
obtaining a Systems Engineering Essence. In this paper, an approach of using
Essence for systems engineering is presented. In this approach we partly
modified a Kernel only within engineering solution area of concerns and
completely preserved Language as an excellent situational method engineering
foundation.
"
9,"  Keyword search engines are essential elements of large information spaces.
The largest information space is the Web, and keyword search engines play
crucial role there. The advent of keyword search engines has provided a quantum
leap in the development of the Web. Since then, the Web has continued to
evolve, and keyword search systems have proven inadequate. A new quantum leap
in the development of keyword search engines is needed. This quantum leap can
be provided with more intellectual keyword search engines. The increased
intelligence of such keyword search engines can be achieved through a
combination of keyword search engines and expert systems. The paper reveals how
it can be done.
"
10,"  Background: Risk-taking is prevalent in a host of activities performed by
software engineers on a daily basis, yet there is scant research on it. Aims
and Method: We study if software engineers' risk-taking is affected by framing
effects and by software engineers' personality. To this end, we perform a
survey experiment with 124 software engineers. Results: We find that framing
substantially affects their risk-taking. None of the ""Big Five"" personality
traits are related to risk-taking in software engineers after correcting for
multiple testing. Conclusions: Software engineers and their managers must be
aware of framing effects and account for them properly.
"
